#{"t_start": 1745585070.5365307, "env_id": "intersection-v0"}
r,l,t
5.0,5,149.210021
5.0,5,149.530111
-2.0,3,149.742649
5.0,5,150.010207
5.0,5,150.420273
-3.0,2,150.604798
-2.175214,3,150.807232
5.0,5,151.08502
2.0,3,151.332755
5.0,5,151.730792
5.0,5,152.009247
5.0,5,152.335736
5.0,5,152.667343
-2.742999,3,153.024217
-2.175214,3,153.33729
4.0,4,153.656409
5.0,5,153.940227
-2.0,3,154.21501
5.0,5,154.520276
5.0,5,154.963156
5.0,5,155.329709
-2.0,3,155.633115
3.0,4,155.810976
-2.0,3,156.050662
-2.0,3,156.3332
-1.0,4,156.578831
4.0,4,156.806822
-2.0,3,157.069658
-2.0,3,157.388328
5.0,5,157.598357
4.0,4,157.753496
-1.0,4,158.012825
5.0,5,158.392462
5.0,5,158.649491
-2.0,3,158.89245
2.0,3,159.102929
5.0,5,159.435985
-2.0,3,159.667453
-2.0,3,159.877408
5.0,5,160.084091
-3.0,2,160.326485
-2.0,3,160.613801
-2.0,3,160.890022
-3.0,2,161.102414
-2.0,3,161.395056
5.0,5,161.607597
5.0,5,161.942009
5.0,5,162.231191
5.0,5,162.555921
2.0,3,162.799446
-3.0,2,162.87446
-3.0,2,163.056781
-2.468761,3,163.300926
5.0,5,163.62906
2.0,3,163.894954
5.0,5,164.098973
5.0,5,164.296882
-5.0,1,164.425102
5.0,5,164.765929
-2.468761,3,165.044331
-3.0,2,165.183562
5.0,5,165.56986
5.0,5,165.862646
4.0,4,166.040518
5.0,5,166.449229
4.0,4,166.728374
5.0,5,166.994509
-2.0,3,167.448461
5.0,5,167.664391
5.0,5,167.882079
5.0,5,168.400121
5.0,5,168.747919
5.0,5,168.967431
5.0,5,169.186484
5.0,5,169.533375
-2.0,3,169.724748
-2.0,3,169.885655
-2.0,3,170.052407
5.0,5,170.354638
-2.0,3,170.553142
5.0,5,170.887575
-3.0,2,171.092677
4.0,4,171.318118
5.0,5,171.61538
5.0,5,171.977713
-2.0,3,172.177212
5.0,5,172.56304
4.0,4,172.826642
-2.0,3,173.058763
5.0,5,173.402145
-3.0,2,173.537532
-2.742999,3,173.711133
5.0,5,173.944597
5.0,5,174.14286
-2.468761,3,174.494167
-2.0,3,174.733393
5.0,5,175.09083
-3.0,2,175.234413
5.0,5,175.591274
-2.0,3,175.78606
4.0,4,176.134219
5.0,5,176.363042
5.0,5,176.612057
2.0,3,176.805901
-2.0,3,176.940601
-2.468761,3,177.155051
5.0,5,177.398099
5.0,5,177.790588
5.0,5,178.048413
5.0,5,178.486928
-2.0,3,178.669101
-3.0,2,178.796182
5.0,5,179.069411
5.0,5,179.493145
5.0,5,179.943016
5.0,5,180.248972
5.0,5,180.661289
2.0,3,180.969323
-2.742999,3,181.242616
5.0,5,181.550035
5.0,5,181.95802
5.0,5,182.336406
5.0,5,182.633097
5.0,5,182.859921
-3.0,2,183.029039
-3.0,2,183.238903
5.0,5,183.583389
5.0,5,183.836877
-2.468761,3,184.095258
2.0,3,184.400829
-3.0,2,184.531201
5.0,5,184.756509
5.0,5,185.065171
-4.0041,1,185.174927
-3.0,2,185.424907
3.0,4,185.756303
5.0,5,186.10369
-2.0,3,186.312908
5.0,5,186.64231
5.0,5,186.872152
-2.0,3,187.04831
5.0,5,187.285661
5.0,5,187.488426
5.0,5,187.808509
5.0,5,188.150378
5.0,5,188.354017
-2.0,3,188.71576
-2.0,3,189.002262
